Timestamp,Drill,Attempts,Best (s),Avg (s)
2026-02-06 17:25:54,Reaction Drill,3,0.513,1.111
2026-02-06 17:32:47,Reaction Drill,2,0.416,1.360
2026-02-06 17:33:24,Reaction Drill,1,1.270,1.270
2026-02-06 17:34:01,Reaction Drill,1,1.526,1.526
2026-02-06 17:36:07,Reaction Drill,3,0.526,1.202
2026-02-06 17:43:26,Reaction Drill,3,0.525,0.550
2026-02-06 17:43:47,Reaction Drill,3,0.409,0.497
2026-02-06 17:44:36,Reaction Drill,3,0.512,0.614
2026-02-06 17:55:42,Reaction Drill,3,0.547,0.766
2026-02-06 18:19:52,Reaction Drill,3,0.706,0.793
2026-02-06 18:20:24,Reaction Drill,3,0.573,0.713
2026-02-06 18:20:53,Reaction Drill,3,0.464,0.652
2026-02-06 18:49:30,Reaction Drill,1,0.377,0.377
2026-02-06 19:10:55,Reaction Drill,1,0.510,0.510
